127.0.0.1 - - [04/Sep/2022:00:15:48 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:15:49 -0300] "GET /GLib/login.jsp HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:15:49 -0300] "GET /GLib/diagram-3-fill.svg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:15:49 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:16:27 -0300] "GET /GLib/login.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:16:27 -0300] "GET /GLib/book-half.svg HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:17:51 -0300] "GET /GLib/login.jsp HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:17:51 -0300] "GET /GLib/book-half.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:17:52 -0300] "GET /GLib/login.jsp HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:18:03 -0300] "GET /GLib/login.jsp HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:18:11 -0300] "GET /GLib/login.jsp HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:18:12 -0300] "GET /GLib/login.jsp HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:18:15 -0300] "GET /GLib/login.jsp HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:18:15 -0300] "GET /GLib/login.jsp HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:18:16 -0300] "GET /GLib/login.jsp HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:19:05 -0300] "GET /GLib/login.jsp HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:19:05 -0300] "GET /GLib/book-half.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:19:12 -0300] "POST /GLib/login HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:25:05 -0300] "GET /GLib/login.jsp HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [04/Sep/2022:00:25:05 -0300] "GET /GLib/book-half.svg HTTP/1.1" 304 -
